id,authority,title,description,app_type,application_type,development_type,app_size,app_state,decision,start_date,decided_date,last_changed,address,postcode,lat,lng,link,status_class,site_area_ha
Wiltshire/PL/2025/07953,Wiltshire,"Installation of 19 solar panels on the roof of the property. 7 will be on the front roof elevation (east facing), and 12 to the rear roof...","Installation of 19 solar panels on the roof of the property. 7 will be on the front roof elevation (east facing), and 12 to the rear roof elevation (west facing).",Full,,,Small,Undecided,,2025-10-13,None,2025-10-14T08:40:12.251129,"11 Caerphilly Drive, Patterdown, Chippenham, SN15 2GF",SN15 2GF,,,https://www.planit.org.uk/planapplic/Wiltshire/PL/2025/07953/,Pending,
WestSussex/WSCC/035/25/PNO,West Sussex,Prior Approval for the installation of Solar PV and Battery Storage to existing flat roofs.,Prior Approval for the installation of Solar PV and Battery Storage to existing flat roofs.,Outline,,,Small,Undecided,,2025-10-10,None,2025-10-14T08:39:44.064608,"Windmills Junior School, Dale Avenue, Keymer, Hassocks, BN6 8LS",BN6 8LS,,,https://www.planit.org.uk/planapplic/WestSussex/WSCC/035/25/PNO/,Pending,
Dumfries/25/1882/PAN,Dumfries,"PROPOSAL OF APPLICATION NOTICE FOR ERECTION OF FOUR WIND TURBINES WITH BLADE TIP HEIGHT OF UP TO 200 METRES, SOLAR PHOTOVOLTAIC ARRAY AND...","PROPOSAL OF APPLICATION NOTICE FOR ERECTION OF FOUR WIND TURBINES WITH BLADE TIP HEIGHT OF UP TO 200 METRES, SOLAR PHOTOVOLTAIC ARRAY AND BATTERY ENERGY STORAGE SYSTEM (BESS) AND ANCILLARY INFRASTRUCTURE INCLUDING ACCESS TRACKS, BORROW PITS, SUBSTATION COMPOUND AND METEOROLOGICAL MAST",None,,,Small,Undecided,,2025-10-10,None,2025-10-14T07:55:17.05901,West Scales Energy Park Gretna,None,,,https://www.planit.org.uk/planapplic/Dumfries/25/1882/PAN/,Pending,
Cornwall/PA25/07655,Cornwall,"Non material amendment in relation to decision notice PA25/02219 dated 04/06/2025 to allow:- Air source heat pump added, ground source he...","Non material amendment in relation to decision notice PA25/02219 dated 04/06/2025 to allow:- Air source heat pump added, ground source heat pump omitted, transom added to sitting room window, window widened to bedroom 1, canopy to utility egress omitted, rooflight omitted, photovoltaic panels added, all roofs- finish changed to fibre cement slates, window omitted, window added, photovoltaic panel proportions and orientation amended, natural stone below DPC instead of engineering brick, engineering brick lintels omitted, replaced by render finish, hanging slate omitted, render finish proposed, omission of louvres to gable end of porte coacher, plant room door changed from louvred to solid, permeable hardstanding extended, updated BREL, Full Sap Calculation, Predicted EPC, Energy Statement, Energy Summary Tool",Amendment,,,Small,Undecided,,2025-10-10,None,2025-10-14T07:51:26.690965,Manaton Dunheved Road Launceston Cornwall PL15 9JE,PL15 9JE,,,https://www.planit.org.uk/planapplic/Cornwall/PA25/07655/,Pending,
Wandsworth/2025/3643,Wandsworth,"Proposed loft mansard L shaped dormer, solar panels, insertion of rooflights, AC unit, internal alterations and all associated works at 2...","Proposed loft mansard L shaped dormer, solar panels, insertion of rooflights, AC unit, internal alterations and all associated works at 29a Barnard Road, SW11 1QT",Full,,,None,None,,2025-10-10,None,2025-10-14T08:36:48.435224,29 A Barnard Road London Wandsworth SW11 1QT,SW11 1QT,,,https://www.planit.org.uk/planapplic/Wandsworth/2025/3643/,Pending,
WestSussex/WSCC/036/25/PNO,West Sussex,Prior Approval for the installation of Solar PV and Battery Storage to existing pitched roofs.,Prior Approval for the installation of Solar PV and Battery Storage to existing pitched roofs.,Outline,,,Small,Undecided,,2025-10-10,None,2025-10-14T08:39:44.062589,"East Grinstead Library, 32-40 West Street, East Grinstead, RH19 4SR",RH19 4SR,,,https://www.planit.org.uk/planapplic/WestSussex/WSCC/036/25/PNO/,Pending,
TauntonDeane/23/25/0050,Taunton Deane,"Installation of ground mounted photovoltaic modules (solar panels) on galvanised framework at Spring Grove House, Milverton Road, Milverton","Installation of ground mounted photovoltaic modules (solar panels) on galvanised framework at Spring Grove House, Milverton Road, Milverton",None,,,Small,Undecided,,2025-10-10,None,2025-10-14T08:32:36.881095,"Spring Grove House, Milverton Road, Milverton",None,,,https://www.planit.org.uk/planapplic/TauntonDeane/23/25/0050/,Pending,
MidDevon/25/01391/HOUSE,Mid Devon,Single storey and first floor extension to North elevation following demolition of existing extensions; extension and replacement of bay ...,Single storey and first floor extension to North elevation following demolition of existing extensions; extension and replacement of bay windows; gable roof extension to South elevation; installation of roof lights and solar panels,Full,,,Small,Undecided,,2025-10-09,None,2025-10-14T08:12:32.675889,Holmingham Farm Bampton Tiverton Devon EX16 9EF,EX16 9EF,,,https://www.planit.org.uk/planapplic/MidDevon/25/01391/HOUSE/,Pending,
SouthWestDevon/2993/25/PST,South West Devon,Installation of 168 panel roof mounted solar array,Installation of 168 panel roof mounted solar array,Outline,,,Small,Undecided,Pending,2025-10-09,None,2025-10-14T08:29:48.563379,Unit 1A-1D North Road Industrial Estate Okehampton EX20 1BQ,EX20 1BQ,,,https://www.planit.org.uk/planapplic/SouthWestDevon/2993/25/PST/,Pending,
Cornwall/PA25/07132,Cornwall,Non-Material Amendment in respect of application PA17/02564 dated 12.04.2018 for the addition of solar panels and Air Source Heat Pumps t...,"Non-Material Amendment in respect of application PA17/02564 dated 12.04.2018 for the addition of solar panels and Air Source Heat Pumps to plots 156-189, change of parking location to plots 114-116, 188 and minor amendment to elevation of plot 169.",Amendment,,,Small,Undecided,,2025-10-09,None,2025-10-11T09:10:34.029403,Hay Common Launceston,None,,,https://www.planit.org.uk/planapplic/Cornwall/PA25/07132/,Pending,
