id,title,date,region,category,price,url
https://www.rtpi.org.uk/events/2025/august/battery-storage-developments/,Battery Storage Developments,20 Aug 2025,"South East Scotland, Scotland",Updates,Free,https://www.rtpi.org.uk/events/2025/august/battery-storage-developments/
https://www.rtpi.org.uk/events/2025/august/summer-boat-social/,Summer Boat Social,20 Aug 2025,South West England,Awards and Social,18.33 + VAT,https://www.rtpi.org.uk/events/2025/august/summer-boat-social/
https://www.rtpi.org.uk/events/2025/august/glasgow-urban-design-panel/,Glasgow Urban Design Panel,21 Aug 2025,"West of Scotland, Scotland",Updates,Free,https://www.rtpi.org.uk/events/2025/august/glasgow-urban-design-panel/
https://www.rtpi.org.uk/events/2025/august/rtpi-yorkshire-young-planners-and-fft-summer-social/,RTPI Yorkshire Young Planners and FFT Summer Social,21 Aug 2025,Yorkshire,Awards and Social,25.00,https://www.rtpi.org.uk/events/2025/august/rtpi-yorkshire-young-planners-and-fft-summer-social/
https://www.rtpi.org.uk/events/2025/august/rics-matrics-devon-networking-maritime-mixer/,RICS Matrics Devon: Networking - Maritime Mixer,22 Aug 2025,South West England,Awards and Social,10,https://www.rtpi.org.uk/events/2025/august/rics-matrics-devon-networking-maritime-mixer/
https://www.rtpi.org.uk/events/2025/august/educating-and-developing-our-future-planners/,Educating and developing our future planners,26 Aug 2025,West of Scotland,Online,,https://www.rtpi.org.uk/events/2025/august/educating-and-developing-our-future-planners/
https://www.rtpi.org.uk/events/2025/august/rtpi-apc-webinar-reflective-journal-august-2025/,RTPI APC Webinar: Reflective Journal - August 2025,28 Aug 2025,National,Online,Free,https://www.rtpi.org.uk/events/2025/august/rtpi-apc-webinar-reflective-journal-august-2025/
https://www.rtpi.org.uk/events/2025/august/planners-and-surveyors-networking-in-the-park/,Planners and Surveyors networking in the park,28 Aug 2025,South East England,Awards and Social,0.00,https://www.rtpi.org.uk/events/2025/august/planners-and-surveyors-networking-in-the-park/
https://www.rtpi.org.uk/events/2025/september/cpd-masterclass-planning-for-non-planners/,CPD Masterclass - Planning for Non-planners,03 Sep 2025,"United Kingdom, England, National",Training,225 + VAT,https://www.rtpi.org.uk/events/2025/september/cpd-masterclass-planning-for-non-planners/
https://www.rtpi.org.uk/events/2025/september/yp-wm-factory-tour/,YP WM Factory Tour,04 Sep 2025,West Midlands,,Free,https://www.rtpi.org.uk/events/2025/september/yp-wm-factory-tour/
https://www.rtpi.org.uk/events/2025/september/rtpi-apc-webinar-a-apc-september-2025/,RTPI APC Webinar: A-APC - September 2025,04 Sep 2025,National,Online,Free,https://www.rtpi.org.uk/events/2025/september/rtpi-apc-webinar-a-apc-september-2025/
https://www.rtpi.org.uk/events/2025/september/sypn-summer-social/,SYPN Summer Social,04 Sep 2025,"Scotland, South East Scotland",Awards and Social,Free,https://www.rtpi.org.uk/events/2025/september/sypn-summer-social/
https://www.rtpi.org.uk/events/2025/september/thriving-towns/,Thriving Towns,04 Sep 2025,North West England,Conference,85.00,https://www.rtpi.org.uk/events/2025/september/thriving-towns/
https://www.rtpi.org.uk/events/2025/september/development-and-infrastructure-planning/,Development and Infrastructure Planning,04 Sep 2025,North East England,,85.00,https://www.rtpi.org.uk/events/2025/september/development-and-infrastructure-planning/
https://www.rtpi.org.uk/events/2025/september/young-planners-conference-2025-study-tours/,Young Planners Conference 2025 - Study tours,05 Sep 2025,,,Free,https://www.rtpi.org.uk/events/2025/september/young-planners-conference-2025-study-tours/
https://www.rtpi.org.uk/events/2025/september/ypc/,Young Planners' Conference 2025: Planning for Good Health,05 Sep 2025,"London, National",Conference,85,https://www.rtpi.org.uk/events/2025/september/ypc/
https://www.rtpi.org.uk/events/2025/september/rtpi-east-midlands-young-planners-late-summer-social/,RTPI East Midlands Young Planners Late Summer Social,09 Sep 2025,East Midlands,Awards and Social,15,https://www.rtpi.org.uk/events/2025/september/rtpi-east-midlands-young-planners-late-summer-social/
https://www.rtpi.org.uk/events/2025/september/promoting-tourism-and-protecting-the-environment/,Promoting tourism and protecting the environment,09 Sep 2025,"South West England, Wales","Awards and Social, Conference",18.50,https://www.rtpi.org.uk/events/2025/september/promoting-tourism-and-protecting-the-environment/
https://www.rtpi.org.uk/events/2025/september/ni-annual-conference-2025/,NI Annual Conference 2025,10 Sep 2025,Northern Ireland,Conference,90.00,https://www.rtpi.org.uk/events/2025/september/ni-annual-conference-2025/
https://www.rtpi.org.uk/events/2025/october/cpd-masterclass-giving-evidence-at-public-inquiries/,CPD Masterclass - Giving evidence at public inquiries,10 Sep 2025,"National, United Kingdom",Training,225 + VAT,https://www.rtpi.org.uk/events/2025/october/cpd-masterclass-giving-evidence-at-public-inquiries/
https://www.rtpi.org.uk/events/2025/september/implications-of-the-brownfield-passport/,Implications of the Brownfield Passport,11 Sep 2025,West Midlands,,80.00,https://www.rtpi.org.uk/events/2025/september/implications-of-the-brownfield-passport/
https://www.rtpi.org.uk/events/2025/september/revitalising-the-public-realm-in-nottingham-a-focus-on-strategic-planning-for-public-health/,Revitalising the Public Realm in Nottingham: A Focus on Strategic Planning for Public Health,11 Sep 2025,East Midlands,Training,35,https://www.rtpi.org.uk/events/2025/september/revitalising-the-public-realm-in-nottingham-a-focus-on-strategic-planning-for-public-health/
https://www.rtpi.org.uk/events/2025/september/bng/,BNG,11 Sep 2025,North West England,Conference,85.00,https://www.rtpi.org.uk/events/2025/september/bng/
https://www.rtpi.org.uk/events/2025/september/how-can-digital-planning-strengthen-and-add-value-to-the-local-planning-review-process/,How Can Digital Planning Strengthen And Add Value To The Local Planning Review Process?,12 Sep 2025,London,"Online, Conference",Free,https://www.rtpi.org.uk/events/2025/september/how-can-digital-planning-strengthen-and-add-value-to-the-local-planning-review-process/
https://www.rtpi.org.uk/events/2025/september/strategic-planning-for-thriving-places-lessons-from-londons-planning-evolution/,Strategic Planning for Thriving Places - Lessons from London's Planning Evolution,16 Sep 2025,"London, South East England",Updates,Free,https://www.rtpi.org.uk/events/2025/september/strategic-planning-for-thriving-places-lessons-from-londons-planning-evolution/
https://www.rtpi.org.uk/events/2025/september/biodiversity-duty-reporting/,Biodiversity Duty Reporting:,16 Sep 2025,"North East England, National, United Kingdom",Online,0.00,https://www.rtpi.org.uk/events/2025/september/biodiversity-duty-reporting/
https://www.rtpi.org.uk/events/2025/september/bridging-the-gap-gender-inclusive-planning/,Bridging the gap: Gender inclusive planning,17 Sep 2025,South West England,"Conference, Online",Free,https://www.rtpi.org.uk/events/2025/september/bridging-the-gap-gender-inclusive-planning/
https://www.rtpi.org.uk/events/2025/september/annual-legal-update-with-brodies-llp/,Annual Legal Update with Brodies LLP,18 Sep 2025,"Grampian, Scotland",Updates,,https://www.rtpi.org.uk/events/2025/september/annual-legal-update-with-brodies-llp/
https://www.rtpi.org.uk/events/2025/september/summer-walk-event-mendip-hills-national-landscape/,Summer Walk Event: Mendip Hills National Landscape,18 Sep 2025,South West England,"Awards and Social, Conference",10,https://www.rtpi.org.uk/events/2025/september/summer-walk-event-mendip-hills-national-landscape/
https://www.rtpi.org.uk/events/2025/september/design-1/,Design 1,18 Sep 2025,North West England,Conference,30,https://www.rtpi.org.uk/events/2025/september/design-1/
https://www.rtpi.org.uk/events/2025/september/rtpi-darwin-green-walking-tour/,RTPI Darwin Green Walking Tour,18 Sep 2025,East of England,Training,0.00,https://www.rtpi.org.uk/events/2025/september/rtpi-darwin-green-walking-tour/
https://www.rtpi.org.uk/events/2025/september/insights-from-the-high-street-practical-lessons-for-planners/,What works on the High Street - practical lessons for Planners,22 Sep 2025,Yorkshire,Online,,https://www.rtpi.org.uk/events/2025/september/insights-from-the-high-street-practical-lessons-for-planners/
https://www.rtpi.org.uk/events/2025/september/rtpi-apc-webinar-l-apc-september-2025/,RTPI APC Webinar: L-APC - September 2025,23 Sep 2025,National,Online,Free,https://www.rtpi.org.uk/events/2025/september/rtpi-apc-webinar-l-apc-september-2025/
https://www.rtpi.org.uk/events/2025/september/2025/september/local-plan-site-promotion-selection-webinar/,Local Plan Site Promotion & Selection Webinar,23 Sep 2025,East of England,Online,,https://www.rtpi.org.uk/events/2025/september/2025/september/local-plan-site-promotion-selection-webinar/
https://www.rtpi.org.uk/events/2025/september/cpd-masterclass-written-communication-for-planning/,CPD Masterclass - Written Communication for Planning,24 Sep 2025,"National, United Kingdom, Europe",Training,225 + VAT,https://www.rtpi.org.uk/events/2025/september/cpd-masterclass-written-communication-for-planning/
https://www.rtpi.org.uk/events/2025/september/2025/january/rtpi-apc-workshop-l-apc/,RTPI APC Workshop: L-APC,24 Sep 2025,"East of England, London",Training,Free,https://www.rtpi.org.uk/events/2025/september/2025/january/rtpi-apc-workshop-l-apc/
https://www.rtpi.org.uk/events/2025/september/digital-planning-innovation-ai-and-consultation/,"Digital Planning Innovation, AI and Consultation",24 Sep 2025,North East England,Conference,85.00,https://www.rtpi.org.uk/events/2025/september/digital-planning-innovation-ai-and-consultation/
https://www.rtpi.org.uk/events/2025/september/rtpi-scotland-conference-2025/,RTPI Scotland Conference 2025,24 Sep 2025,Scotland,Conference,,https://www.rtpi.org.uk/events/2025/september/rtpi-scotland-conference-2025/
https://www.rtpi.org.uk/events/2025/september/manchester-archives-local-studies-research-evening/,Manchester Archives & Local Studies Research Evening,25 Sep 2025,North West England,Updates,0.00,https://www.rtpi.org.uk/events/2025/september/manchester-archives-local-studies-research-evening/
https://www.rtpi.org.uk/events/2025/september/powering-the-future-how-planners-can-lead-the-transition-to-net-zero-through-delivering-renewable-energy-infrastructure/,Powering the Future: How planners can lead the transition to net zero through delivering renewable energy infrastructure.,25 Sep 2025,"West Midlands, South West England",,0.00,https://www.rtpi.org.uk/events/2025/september/powering-the-future-how-planners-can-lead-the-transition-to-net-zero-through-delivering-renewable-energy-infrastructure/
https://www.rtpi.org.uk/events/2025/september/cpd-webinar-validation-training/,CPD Webinar - Validation training,25 Sep 2025,"United Kingdom, National","Online, Training",37 + VAT,https://www.rtpi.org.uk/events/2025/september/cpd-webinar-validation-training/
https://www.rtpi.org.uk/events/2025/september/planning-politics-south-west-in-focus/,Planning & Politics: South West in Focus,25 Sep 2025,South West England,Conference,5,https://www.rtpi.org.uk/events/2025/september/planning-politics-south-west-in-focus/
https://www.rtpi.org.uk/events/2025/september/wm-planning-s-mission-and-the-theory-practice-gap-webinar/,WM Planning’s mission and the theory-practice gap - Webinar,30 Sep 2025,West Midlands,,0.00,https://www.rtpi.org.uk/events/2025/september/wm-planning-s-mission-and-the-theory-practice-gap-webinar/
https://www.rtpi.org.uk/events/2025/september/ethics-offering-planning-services-to-members-of-the-public/,Ethics - Offering Planning Services to Members of the Public,30 Sep 2025,"North East England, National, United Kingdom",,0.00,https://www.rtpi.org.uk/events/2025/september/ethics-offering-planning-services-to-members-of-the-public/
https://www.rtpi.org.uk/events/2025/october/planning-for-heritage/,Planning for Heritage,01 Oct 2025,"South East England, London",Conference,42.50,https://www.rtpi.org.uk/events/2025/october/planning-for-heritage/
https://www.rtpi.org.uk/events/2025/october/rtpi-apc-webinar-ep-apc-october-2025/,RTPI APC Webinar: EP-APC - October 2025,02 Oct 2025,National,Online,Free,https://www.rtpi.org.uk/events/2025/october/rtpi-apc-webinar-ep-apc-october-2025/
https://www.rtpi.org.uk/events/2025/october/rtpi-south-west-dinner-2025/,RTPI South West Dinner 2025,02 Oct 2025,South West England,Awards and Social,65,https://www.rtpi.org.uk/events/2025/october/rtpi-south-west-dinner-2025/
https://www.rtpi.org.uk/events/2025/october/development-management-update/,Development Management Update,02 Oct 2025,North West England,Conference,85.00,https://www.rtpi.org.uk/events/2025/october/development-management-update/
https://www.rtpi.org.uk/events/2025/october/co-ownership-and-affordable-housing-webinar/,Co-Ownership and Affordable Housing Webinar,07 Oct 2025,Northern Ireland,Online,0.00,https://www.rtpi.org.uk/events/2025/october/co-ownership-and-affordable-housing-webinar/
https://www.rtpi.org.uk/events/2025/october/planning-aid-england-cpd-day-delivering-inclusive-engagement/,Planning Aid England CPD Day: Delivering Inclusive Engagement,07 Oct 2025,"England, West Midlands, East Midlands",Training,Free,https://www.rtpi.org.uk/events/2025/october/planning-aid-england-cpd-day-delivering-inclusive-engagement/
https://www.rtpi.org.uk/events/2025/october/cpd-masterclass-introduction-to-development-viability-finance/,CPD Masterclass - Introduction to Development Viability & Finance,08 Oct 2025,"National, Europe, United Kingdom, International",Training,225 + VAT ,https://www.rtpi.org.uk/events/2025/october/cpd-masterclass-introduction-to-development-viability-finance/
https://www.rtpi.org.uk/events/2025/october/national-planning-conference-2025/,National Planning Conference 2025,09 Oct 2025,"United Kingdom, National",Conference,215,https://www.rtpi.org.uk/events/2025/october/national-planning-conference-2025/
https://www.rtpi.org.uk/events/2025/october/ne-autumn-planning-law-update/,NE Autumn Planning Law Update,13 Oct 2025,North East England,,85.00,https://www.rtpi.org.uk/events/2025/october/ne-autumn-planning-law-update/
https://www.rtpi.org.uk/events/2025/october/understanding-the-global-challenges-of-postcolonial-planning/,Understanding the global challenges of Postcolonial Planning,14 Oct 2025,"Yorkshire, International, National",Online,,https://www.rtpi.org.uk/events/2025/october/understanding-the-global-challenges-of-postcolonial-planning/
https://www.rtpi.org.uk/events/2025/october/cpd-day-multiple-choice-topic-day/,CPD Day - Multiple choice topic day,15 Oct 2025,South West England,Conference,102,https://www.rtpi.org.uk/events/2025/october/cpd-day-multiple-choice-topic-day/
https://www.rtpi.org.uk/events/2025/october/cpd-masterclass-effective-leadership-skills-for-planners/,CPD Masterclass - Effective Leadership Skills for Planners,15 Oct 2025,"National, Europe, United Kingdom, International",Training,225 + VAT,https://www.rtpi.org.uk/events/2025/october/cpd-masterclass-effective-leadership-skills-for-planners/
